router_id,router_model,mean_power_PSU1,mean_power_PSU2,median_power_PSU1,median_power_PSU2,PSU_capacity,efficiency_PSU1,efficiency_PSU2,inlet_temperature,load_PSU1,load_PSU2
swiQO1,ASR-920-24SZ-M,35.03919350387432,37.193020841679136,35.0,37.0,250,,,,0.14,0.148
swiUN920,ASR-920-24SZ-M,38.99918363886076,41.002108991665246,39.0,41.0,250,0.9230769230769232,0.8780487804878049,39.0,0.156,0.164
swiGR2,ASR-920-24SZ-M,37.04124399781829,36.960850652547286,37.0,37.0,250,0.972972972972973,0.972972972972973,42.0,0.148,0.148
swiWG1,ASR-920-24SZ-M,41.06709113864212,44.02363661760624,41.0,44.0,250,0.8571428571428571,0.8,37.0,0.164,0.176
swiAS1,ASR-920-24SZ-M,33.999992993754184,39.18677073814493,34.0,39.0,250,0.7647058823529411,0.975,40.0,0.136,0.156
swiVQ1,ASR-920-24SZ-M,38.007165810555165,36.746738377756174,38.0,37.0,250,0.9473684210526316,0.972972972972973,39.0,0.152,0.148
swiWI2,ASR-920-24SZ-M,34.000088142564124,37.0003588418598,34.0,37.0,250,0.7058823529411765,0.972972972972973,38.0,0.136,0.148
swiKH1,ASR-920-24SZ-M,35.50072680895752,38.000298298690176,35.8197343,38.0,250,0.6666666666666666,1.0,43.0,0.1432789372,0.152
swiGW2,ASR-920-24SZ-M,37.020416389209714,33.81851226108132,37.0,34.0,250,0.972972972972973,0.7058823529411765,37.0,0.148,0.136
swiLF2,ASR-920-24SZ-M,34.99938604818135,39.21319720437671,35.0,39.0,250,0.7428571428571429,0.8780487804878049,41.0,0.14,0.156
swiXL2,ASR-920-24SZ-M,41.88095758357856,31.989042437425777,42.0,32.0,250,0.8780487804878049,0.75,38.0,0.168,0.128
swiFP1,ASR-920-24SZ-M,36.06058999975794,36.00989128145699,36.0,36.0,250,,,,0.144,0.144
swiZP2,ASR-920-24SZ-M,34.12154182266737,39.119420298507,34.0,39.0,250,0.7647058823529411,0.975,42.0,0.136,0.156
swiFP2,ASR-920-24SZ-M,39.12774607109507,34.829690033304566,39.0,35.0,250,,,,0.156,0.14
swiRN1,ASR-920-24SZ-M,36.001080047344765,39.01403334446817,36.0,39.0,250,0.6666666666666666,0.9230769230769232,37.0,0.144,0.156
swiUE2,ASR-920-24SZ-M,35.99999664649261,36.99909417621898,36.0,37.0,250,0.6666666666666666,0.972972972972973,46.0,0.144,0.148
swiBJ2,ASR-920-24SZ-M,35.65305586250573,36.009895434989126,36.0,36.0,250,0.7428571428571429,0.7222222222222222,42.0,0.144,0.144
swiZC1,ASR-920-24SZ-M,36.095895075334205,35.994066221319244,36.0,36.0,250,0.7027027027027027,0.7222222222222222,34.0,0.144,0.144
swiJF1,ASR-920-24SZ-M,36.792447085012135,39.77862932122933,37.0,40.0,250,1.0,0.975,40.0,0.148,0.16
swiEJ1,ASR-9001,171.6604349882843,163.98070448378306,171.70350000000002,164.106,750,,,,0.22893800000000003,0.218808
swiFH2,ASR-9001,161.91408977518591,166.78162313998683,161.71712499999998,167.145,750,,,,0.21562283333333332,0.22286
swiMU1,ASR-9001,159.88529442259255,163.23008634832092,160.912094269875,163.2285,750,,,,0.21454945902650002,0.217638
swiEL1,ASR-9001,164.9230892789034,161.31071445586898,164.73987499999998,161.067,750,,,,0.21965316666666665,0.214756
swiBT1,ASR-9001,162.30144589660327,164.63489003508406,162.5865,164.73987499999998,750,,,,0.216782,0.21965316666666665
swiCG2,ASR-9001,170.73791965192692,166.82946325688388,170.785375,167.145,750,,,,0.2277138333333333,0.22286
swiUN9001,ASR-9001,174.4786623809621,166.10289113026542,173.808125,166.25125,750,,,,0.23174416666666664,0.22166833333333333
swiLN1,ASR-9001,170.51204606538576,164.96368922631856,170.785375,164.73987499999998,750,,,,0.2277138333333333,0.21965316666666665
swiOS2,ASR-9001,165.6748464072471,160.54916033639032,165.62550000000002,160.20575,750,,,,0.22083400000000003,0.21360766666666667
swiLN2,ASR-9001,182.09474717425428,177.70486555264156,182.34,177.78150000000002,750,,,,0.24312,0.23704200000000003
swiCG1,ASR-9001,167.16455988625322,173.21421983175972,167.145,173.223,750,,,,0.22286,0.23096400000000003
swiPD2,ASR-9001,162.3960416931313,163.1880706349999,164.73987499999998,161.067,750,,,,0.21965316666666665,0.214756
swiPD1,ASR-9001,172.46051871344002,176.20304958076704,172.7728721012258,176.262,750,,,,0.23036382946830106,0.235016
swiQA1,ASR-9001,172.05918559887166,154.19852782048,172.2212027021472,154.1081128200244,750,,,,0.2296282702695296,0.20547748376003253
swiMU2,ASR-9001,171.57258777206133,171.16442640534265,173.223,171.70350000000002,750,,,,0.23096400000000003,0.22893800000000003
swiFD2,ASR-9001,151.6967709840815,170.4843633855844,151.5423918146875,170.512325220105,750,,,,0.20205652241958333,0.22734976696014
swiFI2,ASR-9001,158.56351533674982,159.07662721859697,158.69437499999998,158.69437499999998,750,,,,0.21159249999999996,0.21159249999999996
swiFH1,ASR-9001,162.59349233280443,172.0869375010837,162.5865,171.70350000000002,750,,,,0.216782,0.22893800000000003
swiMF2,ASR-9001,178.66026211223334,161.96798632579285,178.675004554626,161.77474673829002,750,,,,0.23823333940616803,0.21569966231772003
swiHB2,ASR-9001,160.39116673549503,175.91335955938047,159.3480914655,175.719375,750,,,,0.212464121954,0.23429250000000001
swiGU2,ASR-9001,172.78472736465105,170.8822546199703,173.223,170.184,750,,,,0.23096400000000003,0.226912
swiJO2,8201-32FH,155.0029535255235,202.48716340847625,156.0,204.0,2000,0.6656318082788671,0.7291703056768558,30.0,0.078,0.102
swiOR2,8201-32FH,224.8671524108222,181.68119430082763,215.0,172.0,2000,0.7600867678958785,0.6880165289256198,29.0,0.1075,0.086
swiAI2,8201-32FH,155.1681060426212,202.47707085962335,155.180755885,203.0,2000,0.6656318082788671,0.7210526315789473,26.0,0.0775903779425,0.1015
swiUN8201,8201-32FH,180.76818496785737,113.5364500137468,181.63074507,113.1853077,2000,0.682844243792325,0.7318385650224215,28.0,0.090815372535,0.05659265385
swiXC1,NCS-55A1-24Q6H-SS,164.29101435404593,142.8298592084334,165.499,136.92588422,1100,0.84418389385992,0.8714596949891068,,0.15045363636363637,0.12447807656363637
swiMU4,NCS-55A1-24Q6H-SS,157.30218431634722,135.54392307427827,157.323,135.5,1100,0.7877461706783371,0.7719298245614036,,0.1430209090909091,0.12318181818181818
swiMU3,NCS-55A1-24Q6H-SS,142.87077685744006,135.638116934944,142.812,135.55345489,1100,0.8771929824561404,0.780701754385965,,0.12982909090909092,0.12323041353636364
swiAY1,NCS-55A1-24Q6H-SS,150.56496673009693,135.55765506711552,150.552,135.5,1100,0.7394957983193278,0.7089715536105033,,0.13686545454545454,0.12318181818181818
swiFY1,NCS-55A1-24Q6H-SS,151.5590572933937,133.51999127845073,151.536,133.52698559000004,1100,0.7717996289424861,0.7510548523206751,,0.13776,0.12138816871818185
swiRK2,NCS-55A1-24Q6H-SS,151.08764734147522,128.55786096300426,151.146434835,128.52149805,1100,0.76937441643324,0.8140043763676149,,0.13740584985,0.11683772549999999
swiOR11,NCS-55A1-48Q6H,164.5892009861176,172.26751972106152,164.781,169.38020973,1100,0.8193832599118943,0.9069767441860468,,0.1498009090909091,0.15398200884545454
